scenario,run_id,seed,median_detection_ms,median_rollback_ms,median_recovery_ms,anomalies_injected,anomalies_detected,false_positive_rate,false_negative_rate
a_energy_spikes,1,43,0.6201267242431641,0.28061866760253906,0.0,13,98,0.9885057471264368,0.07692307692307693
a_energy_spikes,2,44,0.6136894226074219,0.2924203872680664,0.0,14,98,0.9767441860465116,0.0
a_energy_spikes,3,45,0.5910396575927734,0.26357173919677734,0.0,16,98,0.9761904761904762,0.0
b_zero_caq,1,43,0.0,0.2930164337158203,0.0,1,97,0.9897959183673469,0.0
b_zero_caq,2,44,0.0,0.3095865249633789,0.0,2,96,1.0,0.0
b_zero_caq,3,45,0.0,0.28395652770996094,0.0,0,98,0.98,0.0
c_gradual_drift,1,43,0.6721019744873047,0.2810955047607422,0.0,10,98,0.9888888888888889,0.1
c_gradual_drift,2,44,0.5900859832763672,0.27048587799072266,0.0,10,98,0.9888888888888889,0.1
c_gradual_drift,3,45,0.6196498870849609,0.23853778839111328,0.0,10,98,0.9888888888888889,0.1
d_parallel_anomalies,1,43,0.6155967712402344,0.25725364685058594,0.0,7,97,1.0,0.14285714285714285
d_parallel_anomalies,2,44,0.615239143371582,0.2543926239013672,0.0,11,95,1.0116279069767442,0.0
d_parallel_anomalies,3,45,0.5931854248046875,0.2589225769042969,0.0,10,98,0.9777777777777777,0.0
e_excessive_variance,1,43,0.5779266357421875,0.24580955505371094,0.0,66,99,1.0,0.015151515151515152
e_excessive_variance,2,44,0.5369186401367188,0.2357959747314453,0.0,51,98,1.0,0.0392156862745098
e_excessive_variance,3,45,0.5681514739990234,0.24008750915527344,0.0,70,99,0.9666666666666667,0.0
f_concurrency,1,43,0.6127357482910156,0.2516508102416992,0.0,6,98,0.9893617021276596,0.16666666666666666
f_concurrency,2,44,0.6132125854492188,0.25832653045654297,0.0,9,98,0.978021978021978,0.0
f_concurrency,3,45,0.6757974624633789,0.26607513427734375,0.0,6,98,0.9787234042553191,0.0
